,MPP (W),VMP (V),IMP (A)
0,0.017592646870604904,13.30999999999976 V,0.0013217615980920527 A
1,0.04837327117624709,22.00000000000064 V,0.0021987850534657127 A
2,0.018306690754324915,13.579999999999755 V,0.0013480626475939061 A
3,0.031658541086117084,17.809999999999985 V,0.0017775710884961882 A
4,16.36099168316265,35.77000000000145 V,0.4573942321264184 A
5,0.05010016604187669,22.3800000000007 V,0.0022386133173313283 A
6,0.5623539322687935,18.10000000000003 V,0.031069278025900142 A
7,0.009768147573549801,17.14999999999988 V,0.0005695712870874559 A
8,0.014681199225124246,20.99000000000048 V,0.0006994377906204816 A
9,0.04850114957475085,22.020000000000643 V,0.0022025953485353966 A
10,0.006834942060777517,20.250000000000366 V,0.00033752800300135277 A
11,0.014123140683816331,16.82999999999983 V,0.0008391646276777465 A
12,0.04812946964705732,21.94000000000063 V,0.00219368594562698 A
13,34.97919934692916,26.970000000001416 V,1.2969669761559999 A
14,0.04861200775412869,22.050000000000647 V,0.0022046262020012364 A
15,0.015091631856646403,17.38999999999992 V,0.0008678339193011197 A
16,0.017802298999906405,13.389999999999759 V,0.0013295219566771266 A
17,0.005344235418686442,19.340000000000224 V,0.0002763306834894716 A
18,4.5922825234227584,35.23000000000156 V,0.130351476679607 A
19,15.492833835567923,35.73000000000146 V,0.43360855962964706 A
20,25.2962343914725,36.09000000000139 V,0.7009208753524945 A
21,0.015193030619593565,17.44999999999993 V,0.0008706607804924715 A
22,0.030545742730285454,17.489999999999934 V,0.0017464689954422852 A
23,0.006905143222593244,16.679999999999808 V,0.0004139774114264583 A
24,6.524316159863056,35.80000000000145 V,0.18224346815259196 A
25,0.010591886886728399,20.580000000000418 V,0.0005146689449333423 A
26,0.015294233489539639,17.509999999999938 V,0.000873457081070228 A
27,0.047512153742537935,21.80000000000061 V,0.00217945659369434 A
28,0.010601196800946797,20.59000000000042 V,0.000514871141376716 A
29,0.01799572832212984,13.439999999999758 V,0.0013389678811108752 A
30,0.047927327666110894,21.890000000000622 V,0.0021894622049387635 A
31,0.032708080451720946,18.10000000000003 V,0.0018070762680508778 A
32,0.03076616397703352,17.559999999999945 V,0.0017520594519950805 A
33,0.04718739761181966,21.720000000000596 V,0.002172532118407844 A
34,0.046790954131967176,21.63000000000058 V,0.0021632433717968524 A
35,14.513540502575008,35.910000000001425 V,0.40416431363337324 A
36,0.015458949287130921,17.59999999999995 V,0.0008783493913142593 A
37,0.04958901260897316,22.27000000000068 V,0.0022267181234383315 A
38,0.03196315470611807,17.889999999999997 V,0.0017866492289613234 A
39,3.2385463429840593,26.950000000001413 V,0.12016869547250053 A
40,0.031782708523551244,17.83999999999999 V,0.001781541957598165 A
41,1.5842600643803029,35.210000000001564 V,0.044994605634201434 A
42,0.048552774527044276,22.040000000000646 V,0.002202938953132616 A
43,0.0147745176969237,17.20999999999989 V,0.0008584844681536197 A
44,0.049456239538705316,22.240000000000677 V,0.002223751777819416 A
45,0.015163513784093474,17.429999999999925 V,0.0008699663674178737 A
46,0.005310971893240923,16.329999999999753 V,0.00032522791752853664 A
47,7.742540168958927,27.170000000001448 V,0.2849665133956023 A
