,MPP (W),VMP (V),IMP (A)
0,42.12775229218204,4.179999999999955 V,10.078409639278107 A
1,49.427051496243266,4.249999999999954 V,11.629894469704425 A
2,138.23608816164915,4.129999999999956 V,33.4712077873246 A
3,63.12577434090528,4.179999999999955 V,15.101859890168889 A
4,78.50562785044083,4.259999999999954 V,18.428551138601335 A
5,202.87133881022987,4.199999999999955 V,48.30269971672192 A
6,4.030802610782135,4.079999999999957 V,0.9879418163681805 A
7,55.11529583844336,4.1699999999999555 V,13.217097323367852 A
8,78.34293883676685,4.159999999999956 V,18.832437220376846 A
9,69.15391435702128,4.199999999999955 V,16.46521770405286 A
10,67.88089959551323,4.159999999999956 V,16.317523941229314 A
11,22.64552890438414,4.059999999999958 V,5.577716478912407 A
12,38.15987511204655,4.199999999999955 V,9.085684550487372 A
13,77.78709607398673,4.199999999999955 V,18.52073716047323 A
14,64.30526884609178,4.249999999999954 V,15.13065149319823 A
15,86.43388417621536,4.179999999999955 V,20.677962721582844 A
16,23.792183137317032,4.149999999999956 V,5.733056177666816 A
17,7.070403464039776,4.099999999999957 V,1.7244886497658172 A
18,44.806741187652506,4.139999999999956 V,10.822884344843715 A
19,66.5875156386825,4.229999999999954 V,15.741729465409746 A
20,113.6851688446159,4.269999999999953 V,26.62416132192439 A
21,62.22334024743457,4.119999999999957 V,15.10275248724156 A
22,49.94346312506005,4.179999999999955 V,11.948196919870952 A
23,37.487447254844675,4.119999999999957 V,9.09889496476822 A
24,60.46044246627868,4.119999999999957 V,14.674864676281388 A
25,55.476536305032866,4.149999999999956 V,13.367840073502038 A
26,62.89627719061914,4.209999999999955 V,14.939733299434636 A
27,57.82964583257675,4.199999999999955 V,13.768963293470803 A
28,42.937336108197805,4.129999999999956 V,10.39644942087125 A
29,53.36941342190947,4.109999999999957 V,12.985258740124095 A
30,110.70962129762913,4.159999999999956 V,26.612889735007286 A
31,134.14892541847493,4.259999999999954 V,31.490358079454552 A
32,47.00210695789397,4.189999999999955 V,11.217686624795817 A
33,46.81036609077679,4.189999999999955 V,11.171925081331096 A
34,30.721427014838177,4.189999999999955 V,7.332082819770527 A
35,61.31295285010817,4.3099999999999525 V,14.225743120674906 A
36,128.82365660531048,4.099999999999957 V,31.42040405007606 A
37,114.44014105096058,4.289999999999953 V,26.676023555002757 A
38,103.95744899848228,4.179999999999955 V,24.870203109685022 A
39,35.01905596059427,4.2199999999999545 V,8.298354493031908 A
40,77.21482491273954,4.139999999999956 V,18.650923891966272 A
41,66.4948068336403,4.199999999999955 V,15.832096865152621 A
42,104.94053118393049,4.2199999999999545 V,24.86742445116863 A
43,34.76844321085038,4.119999999999957 V,8.438942526905521 A
44,84.60523516465116,4.289999999999953 V,19.72150003838044 A
45,98.84545545252632,4.159999999999956 V,23.760926791472926 A
